Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
Voz Workers' Rights Education Project,,17090763,1131 SE Oak St,Portland,OR,97214,Multnomah,26-1357376,"To support this Portland-based social service organization's direct actions in protest of immigration enforcement incidents; this grant is made as part of the Oregon Immigrant and Refugee Funders Collaborative, addressing critical and time-sensitive issues facing immigrants and refugees",2018 ,"$20,000 ",one year,5032336787,SR040100 - Immigrants' Rights,,,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,UN0000 - Program Development,Project Support,,,7014273,"PG010000, PG010200",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Voz is a worker-led organization that empowers diverse day laborers and immigrants to improve their working conditions and protect civil rights through leadership development, organizing, education and economic opportunity."
Willamette Valley Development Officers,,17080731,"1220 SW Morrison, Ste. 425",Portland,OR,97205,Multnomah,93-1190310,"To support Critical Connections & Critical Mass: Supporting Movement Networks for Change, a workshop exploring collaborative work in coalitions and movement networks and the implications of resourcing such initiatives",2018 ,"$1,500 ",one year,5032741977,SD030000 - Nonprofits,,,UJ0200 - Conferences,Project Support,UJ0000 - Network Building And Collaboration,Project Support,,,"7014273, 2085479",PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,WVDO empowers its members to develop resources and fundraising excellence.  We learn together.  We support one another.  We improve nonprofits and the communities they serve.
Willamette Valley Development Officers,,17040637,"1220 SW Morrison, Ste. 425",Portland,OR,97205,Multnomah,93-1190310,"To provide training for social justice, grassroots organizations that promotes connections between fundraising, social justice and movement-building",2018 ,"$5,000 ",one year,5032741977,SD030000 - Nonprofits,SR020000 - Social Rights,,UJ0200 - Conferences,Project Support,,,,,7014273,"PC010000, PE000000",TA00 - Cash Grants,Grant,,Meyer-Designated Program,WVDO empowers its members to develop resources and fundraising excellence.  We learn together.  We support one another.  We improve nonprofits and the communities they serve.
American Leadership Forum of Oregon,ALF Oregon,18040001,"221 NW Second Ave, Ste 306",Portland,OR,97209,Clackamas,94-3106407,"To continue the Urban/Rural Connection Leadership Cohort, focused on addressing and bridging Oregon’s urban/rural divide",2019 ,"$48,000 ",one year,5036362288,SK020000 - Leadership Development,SR050000 - Diversity And Intergroup Relations,,UN0000 - Program Development,Project Support,,,,,7007708,"PR00001, PA000000",TA00 - Cash Grants,Grant,,Building Community,The purpose of the American Leadership Forum of Oregon is to join and strengthen leaders in order to better serve the public good. It enhances leadership by building on the strengths of diversity and by promoting collaborative problem solving within and among communities both urban and rural.
Boys and Girls Club of Corvallis,,18040002,1112 NW Circle Blvd.,Corvallis,OR,97330,Benton,23-7153987,"To broaden the Keystone Leadership program to help teens address bullying motivated by racism, homophobia, gender identity and disability",2019 ,"$50,000 ",one year,5417571909,SS050100 - Youth Services,,,UN0000 - Program Development,Project Support,,,,,2001701,"PG030200, PA010000, PE050000",TA00 - Cash Grants,Grant,,Building Community,"The Mission of the Boys & Girls Club of Corvallis is to attract, continually engage, and inspire elementary, middle, and high school-aged youth to realize their full potential through mentoring, modeling good character, and delivering relevant structured enrichment programs in a safe, positive environment."
CAPACES Leadership Institute,,18040021,356 Young Street,Woodburn,OR,97071,Marion,45-2771253,"To strengthen Alianza Poder, working to strategize and mobilize Oregon's Latinx community, and to develop the People's Representative programs, which offer public service training for Marion and Polk County residents",2019 ,"$50,000 ",one year,5039020756,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,,,,,7007708,PE050000,TA00 - Cash Grants,Grant,,Building Community,"The CLI is a non-profit organization based in Woodburn, Oregon that was founded to prepare leaders with the political consciousness and capacity needed to lead and support social justice work."
Coalition of Communities of Color,,18040004,221 NW Second Avenue,Portland,OR,97209,Multnomah,47-4448490,"To support Bridges — six culturally-specific leadership development programs led by CCC member organizations — through collaborative planning, resource development and alumni connections to employment opportunities and civic engagement",2019 ,"$35,000 ",one year,5032005722,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,,,,,7007708,PE000000,TA00 - Cash Grants,Grant,,Building Community,"The mission of the Coalition of Communities of Color is to address the socioeconomic disparities, institutional racism, and inequity of services experienced by our families, children and communities; and to organize our communities for collective action resulting in social change to obtain self-determination, wellness, justice and prosperity."
Communities United for People,,18040005,PO Box 33167,Portland,OR,97292,Multnomah,93-1181863,"To coordinate a year-long leadership development cohort that builds organizing skills grounded in Enlace’s Integrated Organizing Approach (IOA) methodology, centering wellness and healing justice work for long-haul organizing",2019 ,"$50,000 ",one year,5032956466,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,,,,,7014273,"PC010000, PA030000, PG030200",TA00 - Cash Grants,Grant,,Building Community,"Enlace is an international alliance of organizations that has developed an Integrated Organizing Approach (IOA) focused on teambuilding and strategic campaigning. We use this IOA to win campaigns against transnational corporations, and build capacity of organizations through trainings and team building systems."
El Programa Hispano Catolico,,18050685,333 SE 223rd Ave,Gresham,OR,97030,Multnomah,47-2845537,"For support of the TANF Alliance, a project that brings together families of color to promote inclusive and equitable policies",2019 ,"$147,453 ",two years,5036698350,SS000000 - Human Services,,,,,,,,,,PE050000,TA00 - Cash Grants,Grant,,Building Community,"The mission of El Programa Hispano Catolico is advancement of racial equity and social justice through the power of our Latinx Culture, community and self-determination."
EUVALCREE,,18040006,67 SW 2nd Ave,Ontario,OR,97914,Malheur,46-2224467,To develop a youth-specific leadership development program in partnership with Rural Development Initiatives,2019 ,"$25,000 ",one year,5418893189,SK020000 - Leadership Development,,,UN0000 - Program Development,Project Support,,,,,"2001709, 2001719, 2001720, 2001722, 2001708, 2001721, 7013349, 2001718","PA010000, PE050000",TA00 - Cash Grants,Grant,,Building Community,"Mobilize and engage under-served and underrepresented populations to improve the lives of all children, families and communities in Oregon and Idaho."
Immigration Counseling Service,,18050665,519 SW Park Avenue - Ste 610,Portland,OR,97205,Multnomah,93-0696480,"For additional support for technical assistance to conduct organization-wide strategic planning, governance planning and diversity, equity and inclusion training",2019 ,"$12,000 ",one year,5032211689,SS090300 - Immigrant Services,SR050000 - Diversity And Intergroup Relations,,UD0100 - Technical Assistance,Capacity Building,,,,,7007708,PG010000,TA00 - Cash Grants,Grant,,Building Community,ICS believes everyone has a right to reputable legal counsel and representation.  Our non-profit law firm is dedicated to improving the lives of Oregon's immigrant communities through access to affordable legal services and educational forums.
"IRCO, Africa House",,18040007,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,To build upon the successful African Leadership Program and continue improving opportunities for graduates and institutional partners through a mentorship program,2019 ,"$50,000 ",one year,5032341541,SS090300 - Immigrant Services,SK020000 - Leadership Development,,UN0000 - Program Development,Project Support,,,,,1002699,"PG010000, PE030000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society.

The Africa House Refugee Community Center serves as a focal point for the community and a ""one stop"" service center providing an array of community building and cultural adjustment services for over 200 African refugees and their families annually."
"IRCO, Africa House",,18040030,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,For capital support to purchase a building to house current and new services for African immigrant and refugee communities in Oregon,2019 ,"$250,000 ",one year,5032341541,SS090300 - Immigrant Services,,,UF0400 - Building And Renovations,Capital Support,,,,,1002699,"PG010400, PG010000, PE030000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society.

The Africa House Refugee Community Center serves as a focal point for the community and a ""one stop"" service center providing an array of community building and cultural adjustment services for over 200 African refugees and their families annually."
"IRCO, Asian Family Center",,18040008,10301 NE Glisan Street,Portland,OR,97220,Multnomah,93-0806295,To build and sustain Asian and Pacific Islander leadership in advocacy and movement building to improve outcomes for APIs and other immigrant and refugee groups in Oregon,2019 ,"$50,000 ",one year,5032341541,SK020000 - Leadership Development,SS090300 - Immigrant Services,,UN0000 - Program Development,Project Support,UK0100 - Advocacy,Project Support,,,1002699,"PE020000, PG010000",TA00 - Cash Grants,Grant,,Building Community,"The mission of the Immigrant and Refugee Community Organization (IRCO) is to promote the integration of refugees, immigrants, and the community at large into a self-sufficient, healthy, and inclusive multiethnic society."
